,Unnamed: 0,CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
3849,3849,F33265,3840.0,E,4.0,2020-10-28 16:55:08.840,2020-10-28,2020-10-23 00:00:00,2020-10-28,,3865.000000000001,0.0,0.0
3869,3869,F33285,3598.0,E,4.0,2020-10-30 09:24:39.330,2020-10-30,2020-10-20 00:00:00,2020-11-29,,13573.000000000002,1628.7600000000002,0.0
3873,3873,F33289,644.0,E,4.0,2020-10-30 11:04:38.727,2020-10-30,2020-10-28 00:00:00,2020-12-29,,35673.0,0.0,0.0
3901,3901,F33317,7053.0,E,4.0,2020-10-30 17:57:29.910,2020-10-30,2020-10-30 00:00:00,2020-10-30,,6001.603400000001,0.0,0.0
3902,3902,F33318,3840.0,E,4.0,2020-10-30 17:59:00.343,2020-10-30,2020-10-23 00:00:00,2020-10-30,,773.0000000000001,0.0,0.0
3906,3906,F33322,4849.0,E,4.0,2020-11-04 14:18:51.910,2020-11-04,2020-11-04 00:00:00,2020-11-04,,103.2576,0.0,0.0
3907,3907,F33323,7068.0,E,4.0,2020-11-04 14:55:52.560,2020-11-04,2020-11-04 00:00:00,2020-11-04,,111.0,0.0,0.0
3915,3915,F33331,7033.0,E,4.0,2020-11-04 18:09:55.557,2020-11-04,2020-11-03 00:00:00,2020-11-04,,600.0,0.0,0.0
3929,3929,F33345,8218.0,E,4.0,2020-11-05 15:41:30.983,2020-11-05,2020-11-05 00:00:00,2020-11-05,,3333.7500000000005,0.0,0.0
3932,3932,F33348,8215.0,E,4.0,2020-11-06 09:34:21.667,2020-11-06,2020-11-06 00:00:00,2020-11-06,,6369.7543,0.0,0.0
3935,3935,F33351,4486.0,E,4.0,2020-11-06 11:49:20.570,2020-11-06,2020-10-29 00:00:00,2020-11-06,,1086.0,0.0,0.0
3937,3937,F33353,8219.0,E,4.0,2020-11-06 12:31:28.707,2020-11-06,2020-11-06 00:00:00,2020-11-06,,6741.914000000001,0.0,0.0
3941,3941,F33357,5926.0,E,4.0,2020-11-06 15:10:37.343,2020-11-06,2020-11-06 00:00:00,2020-11-06,,175.2544,0.0,0.0
3969,3969,F33385,5728.0,E,4.0,2020-11-12 11:18:38.363,2020-11-12,2020-11-06 00:00:00,2020-11-20,,6976.8,0.0,0.0
3977,3977,F33393,644.0,E,4.0,2020-11-13 08:13:57.513,2020-11-13,2020-10-27 00:00:00,2021-01-12,,18500.0,0.0,0.0
3981,3981,F33397,6253.0,E,4.0,2020-11-13 10:16:44.057,2020-11-13,2020-11-06 00:00:00,2020-11-21,,4284.0,0.0,0.0
3985,3985,F33401,7053.0,E,4.0,2020-11-13 12:56:57.477,2020-11-13,2020-11-04 00:00:00,2020-11-13,,6001.6,0.0,0.0
3999,3999,F33415,5894.0,E,4.0,2020-11-17 13:00:06.847,2020-11-17,2020-10-07 00:00:00,2020-12-17,,3250.0000000000005,0.0,0.0
4023,4023,F33439,4733.0,E,4.0,2020-11-18 12:16:46.133,2020-11-18,2020-11-12 00:00:00,2020-12-03,,1750.0000000000002,0.0,0.0
4027,4027,F33443,3836.0,C,4.0,2020-11-18 13:00:14.347,2020-11-18,2020-11-18 00:00:00,2020-11-18,2020-12-09,21105.0,0.0,0.0
4031,4031,F33447,3930.0,E,4.0,2020-11-19 09:21:07.253,2020-11-19,2020-11-13 00:00:00,2020-12-19,,28305.000000000004,0.0,0.0
4043,4043,F33459,644.0,E,4.0,2020-11-20 10:32:49.717,2020-11-20,2020-11-24 00:00:00,2021-01-19,,35673.0,0.0,0.0
4047,4047,F33463,6253.0,E,4.0,2020-11-20 13:26:58.007,2020-11-20,2020-11-20 00:00:00,2020-11-28,,11384.000000000002,0.0,0.0
4048,4048,F33464,6253.0,E,4.0,2020-11-20 13:31:44.970,2020-11-20,2020-11-20 00:00:00,2020-11-28,,7500.000000000001,0.0,0.0
4049,4049,F33465,6253.0,E,4.0,2020-11-20 13:33:28.127,2020-11-20,2020-11-20 00:00:00,2020-11-28,,12600.000000000002,0.0,0.0
4059,4059,F33475,5233.0,E,4.0,2020-11-20 17:30:32.173,2020-11-20,2020-11-20 00:00:00,2020-11-20,,7284.48,0.0,0.0
4072,4072,F33488,6340.0,E,4.0,2020-11-24 09:33:01.027,2020-11-24,2020-11-17 00:00:00,2020-11-24,,2366.4,0.0,0.0
4073,4073,F33489,49.0,E,4.0,2020-11-24 11:09:22.147,2020-11-24,2020-11-19 00:00:00,2020-12-09,,4759.3640000000005,0.0,0.0
4075,4075,F33491,8237.0,E,4.0,2020-11-24 11:35:28.517,2020-11-24,2020-11-24 00:00:00,2020-11-24,,1703.7504,0.0,0.0
4087,4087,F33503,2853.0,E,4.0,2020-11-25 11:31:58.320,2020-11-25,2020-11-25 00:00:00,2020-11-25,,38.546600000000005,0.0,0.0
